nama_provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,jumlah_penduduk,satuan,latitude,longitude,Timbunan_Sampah,tahun
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,WANAHERANG,3204,JIWA,-641.534.741.831.552,106.944.725.652.308,1158,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG KULUR,9757,JIWA,-63.199.296.884.839,106.968.693.891.321,3882,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIANGSANA,5886,JIWA,-63.586.371.963.985,106.956.520.603.805,2180,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,GUNUNG PUTRI,8508,JIWA,-642.877.421.459.399,106.922.346.875.011,3260,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG NANGKA,7420,JIWA,-642.886.459.449.679,106.924.055.401.173,3182,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,TLAJUNG UDIK,6090,JIWA,-644.595.459.199.253,10.691.244.110.589,3020,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CICADAS,3654,JIWA,-643.202.740.723.859,106.928.332.782.209,1944,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIKEAS UDIK,5240,JIWA,-640.543.171.832.865,106.935.465.798.453,2076,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,NAGRAK,6774,JIWA,-661.854.995.105.859,106.856.188.360.571,4691,2025
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,KARANGGAN,6054,JIWA,-645.838.186.462.006,106.885.688.889.531,2538,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PUSPASARI,5968,JIWA,-64.753.764.986.759,106.875.366.189.273,1638,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,CITEUREUP,14123,JIWA,-648.822.068.611.909,106.881.613.833.779,5741,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,LEUWINUTUG,8420,JIWA,-651.410.566.102.532,106.863.292.730.976,4598,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TAJUR,26750,JIWA,-648.936.695.047.871,106.879.769.135.837,13732,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SANJA,6726,JIWA,-650.512.960.274.467,106.867.989.901.754,4418,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,KARANG ASEM TIMUR,10105,JIWA,-649.836.260.101.087,106.878.316.699.309,6706,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TARIKOLOT,9246,JIWA,-649.919.209.922.278,106.891.594.804.465,5818,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,GUNUNGSARI,4622,JIWA,-649.878.890.339.671,106.903.398.099.623,2823,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TANGKIL,5816,JIWA,-653.839.620.480.928,106.870.940.397.964,3624,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SUKAHATI,6262,JIWA,-651.482.250.255.087,106.885.486.240.243,3379,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,HAMBALANG,5533,JIWA,-655.268.125.547.241,106.900.284.039.461,2967,2025
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PASIRMUKTI,5721,JIWA,-650.925.320.481.565,106.897.496.408.182,2648,2025
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,GUNUNGGEULIS,3538,JIWA,-663.081.619.558.469,106.884.818.699.492,1976,2025
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CILEBUT TIMUR,8875,JIWA,-652.669.560.141.663,106.801.654.253.786,5300,2025
